지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),	최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
159,부산,2022-01,4.0,9.2,13.2,2022-01-22,0.0,-6.1,2022-01-14
159,부산,2022-02,3.6,8.8,15.2,2022-02-28,-0.5,-7.5,2022-02-17
159,부산,2022-03,10.5,14.8,20.1,2022-03-12,6.8,-0.8,2022-03-06
159,부산,2022-04,14.9,19.1,23.6,2022-04-25,11.4,5.6,2022-04-02
159,부산,2022-05,19.0,23.4,27.4,2022-05-31,15.3,8.3,2022-05-03
159,부산,2022-06,21.7,24.9,28.6,2022-06-22,19.4,14.7,2022-06-09
159,부산,2022-07,26.2,29.7,32.9,2022-07-29,23.7,20.1,2022-07-18
159,부산,2022-08,26.4,29.7,33.1,2022-08-05,24.0,19.5,2022-08-28
159,부산,2022-09,22.9,26.9,31.0,2022-09-18,20.2,15.4,2022-09-21
159,부산,2022-10,17.6,22.7,30.8,2022-10-01,14.0,8.1,2022-10-19
159,부산,2022-11,14.4,19.8,24.2,2022-11-12,10.4,-0.8,2022-11-30
159,부산,2022-12,3.3,8.1,16.4,2022-12-09,-0.3,-6.5,2022-12-24
