지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),	최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
133,대전,2022-01,-0.8,5.2,10.2,2022-01-23,-5.9,-10.8,2022-01-12
133,대전,2022-02,0.1,6.1,14.1,2022-02-28,-5.2,-10.6,2022-02-17
133,대전,2022-03,8.3,14.5,21.6,2022-03-12,2.5,-2.9,2022-03-07
133,대전,2022-04,14.9,21.9,28.3,2022-04-11,8.3,1.1,2022-04-03
133,대전,2022-05,19.4,26.3,31.6,2022-05-29,12.7,5.5,2022-05-03
133,대전,2022-06,24.1,29.4,35.7,2022-06-21,19.8,14.5,2022-06-02
133,대전,2022-07,27.0,31.5,35.4,2022-07-06,23.4,20.9,2022-07-19
133,대전,2022-08,25.7,29.6,34.3,2022-08-07,22.7,15.4,2022-08-28
133,대전,2022-09,21.8,27.5,33.1,2022-09-18,17.4,11.3,2022-09-24
133,대전,2022-10,14.3,20.7,28.3,2022-10-01,9.1,2.2,2022-10-19
133,대전,2022-11,9.5,16.6,25.3,2022-11-12,3.8,-5.5,2022-11-30
133,대전,2022-12,-2.0,3.3,12.5,2022-12-09,-6.4,-13.5,2022-12-24
